Count,SL.,SP.,NSP.,NE.,SM.,FR.,OF.,RES.,IR.,PH.,RP.,GS.,FG.,OG.,sub_no,clusters,,,
62,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,SL.FG.SM.PH.,,,
153,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
93,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,SL.FG.NE.RP.,,,
3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,SL.FG.NE.IR.,,,
19,0,0,1,1,0,0,0,0,1,0,0,0,1,0,3,NSP.FG.NE.IR.,,,
46,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,SL.FG.NE.IR.,,,
71,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,SL.FG.NE.RP.,,,
66,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
222,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
48,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,SL.FG.SM.PH.,,,
26,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3,SL.FG.SM.PH.,,,
17,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,NSP.FG.SM.PH.,,,
57,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,NSP.GS.SM.PH.,,,
38,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,NSP.FG.SM.PH.,,,
3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
69,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,SL.FG.NE.IR.,,,
22,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3,SL.GS.NE.IR.,,,
31,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,SL.GS.NE.RP.,,,
31,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,SL.FG.NE.RP.,,,
133,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
62,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,SL.FG.NE.RP.,,,
21,0,1,0,1,0,0,0,0,0,0,1,0,1,0,3,SP.FG.NE.RP.,,,
67,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,SL.FG.NE.RP.,,,
45,0,1,0,1,0,0,0,0,0,0,1,0,1,0,3,SP.FG.NE.RP.,,,
33,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,SL.FG.NE.RP.,,,
28,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
34,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
54,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
73,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
57,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
84,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
70,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
30,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3,SP.FG.NE.PH.,,,
60,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
22,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
106,1,0,0,1,0,0,0,0,0,1,0,0,1,0,3,SL.FG.NE.PH.,,,
32,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,SL.FG.NE.PH.,,,
47,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4,SL.GS.NE.PH.,,,
17,1,0,0,0,1,0,0,1,0,0,0,1,0,0,4,SL.GS.SM.RES.,,,
25,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,SP.GS.SM.PH.,,,
14,1,0,0,0,1,0,0,0,1,0,0,1,0,0,4,SL.GS.SM.IR.,,,
7,1,0,0,0,1,0,0,0,0,1,0,0,1,0,4,SL.FG.SM.PH.,,,
18,1,0,0,1,0,0,0,0,0,1,0,0,1,0,4,SL.FG.NE.PH.,,,
